Image	Object type	Name	Classification	Parent	ROI	Atlas_X	Atlas_Y	Atlas_Z	hemisphere	channel	Atlas_AP	Atlas_DV	Atlas_ML	animal
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4214	4.5511	3.5178	Right	Negative	-6.356792729099534	3.3685572797829826	-2.1822000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3918	4.6316	3.3829	Right	Negative	-6.334321403327204	3.446645783816613	-2.3171000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2973	4.8846	3.3587	Right	Negative	-6.262231407272693	3.6921877813645105	-2.3413000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1247	5.3505	2.9039	Right	Negative	-6.130894062928191	4.144236939590883	-2.7961	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4029	4.5989	3.7139	Right	Negative	-6.3425291716881755	3.4150013219825763	-1.9861	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4266	4.5372	3.5303	Right	Negative	-6.360761476705419	3.3550663615122023	-2.1697	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2553	4.9983	3.1964	Right	Negative	-6.230300837903248	3.8024975418172904	-2.5036	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3906	4.6335	3.51	Right	Negative	-6.333291565600714	3.448530090238405	-2.1900000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1232	5.3534	3.0135	Right	Negative	-6.129652522535022	4.147085722909166	-2.6865	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1192	5.3647	2.9375	Right	Negative	-6.126652603635702	4.1580344677034295	-2.7625	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3889	4.6378	3.5342	Right	Negative	-6.331972804307774	3.4527110522116815	-2.1658000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3389	4.7727	3.4238000000000004	Right	Negative	-6.293920379099847	3.5836025681435375	-2.2762	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2281	5.0716	3.1491	Right	Negative	-6.209592858058555	3.873622078741528	-2.5509000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3796	4.6629	3.5281	Right	Negative	-6.324895802758487	3.4770649565416796	-2.1719000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3069	4.8589	3.3512	Right	Negative	-6.269554973785759	3.6672453241692926	-2.3488	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4285	4.5319	3.5397	Right	Negative	-6.36219232119523	3.3499291449152038	-2.1603000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3593	4.7188	3.3565	Right	Negative	-6.309545056406818	3.5312694612844036	-2.3435	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3321	4.794	3.0746	Right	Negative	-6.289002672473347	3.604179637357181	-2.6254	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3988	4.6106	3.614	Right	Negative	-6.339464495616145	3.4263342130808825	-2.0860000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.165	5.2412	3.06	Right	Negative	-6.161514586578968	4.0382021221191975	-2.64	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1586	5.2586	3.0147	Right	Negative	-6.156655450434991	4.055081042936857	-2.6853000000000002	animalid0
